trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 0	 97 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 1	 43 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 2	 66 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 3	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 4	 39 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 5	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 6	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 7	 52 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 8	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 9	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 10	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 11	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 12	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 13	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 14	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 15	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 16	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 17	 89 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 18	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 19	 54 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 20	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 21	 70 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 22	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 23	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 24	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 25	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 26	 69 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 27	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 28	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 29	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 30	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 31	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 32	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 33	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 34	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 35	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 36	 69 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 37	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 38	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 39	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 40	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 41	 82 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 42	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 43	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 44	 66 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 45	 67 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 46	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 47	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 48	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 49	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 50	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 51	 72 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 52	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 53	 66 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 54	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 55	 53 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 56	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 57	 68 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 58	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 59	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 60	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 61	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 62	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 63	 68 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 64	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 65	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 66	 92 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 67	 39 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 68	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 69	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 70	 66 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 71	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 72	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 73	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 74	 64 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 75	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 76	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 77	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 78	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 79	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 80	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 81	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 82	 39 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 83	 107 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 84	 84 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 85	 53 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 86	 68 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 87	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 88	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 89	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 90	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 91	 53 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 92	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 93	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 94	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 95	 66 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 96	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 97	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 98	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 99	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 100	 162 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 101	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 102	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 103	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 104	 94 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 105	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 106	 67 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 107	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 108	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 109	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 110	 69 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 111	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 112	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 113	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 114	 65 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 115	 52 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 116	 90 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 117	 64 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 118	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 119	 53 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 120	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 121	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 122	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 123	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 124	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 125	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 126	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 127	 39 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 128	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 129	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 130	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 131	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 132	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 133	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 134	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 135	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 136	 49 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 137	 69 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 138	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 139	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 140	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 141	 67 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 142	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 143	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 144	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 145	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 146	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 147	 66 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 148	 68 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 149	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 150	 126 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 151	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 152	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 153	 91 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 154	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 155	 95 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 156	 64 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 157	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 158	 67 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 159	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 160	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 161	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 162	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 163	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 164	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 165	 66 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 166	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 167	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 168	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 169	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 170	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 171	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 172	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 173	 93 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 174	 66 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 175	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 176	 91 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 177	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 178	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 179	 70 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 180	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 181	 64 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 182	 48 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 183	 51 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 184	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 185	 91 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 186	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 187	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 188	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 189	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 190	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 191	 67 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 192	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 193	 51 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 194	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 195	 66 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 196	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 197	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 198	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 199	 52 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 200	 67 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 201	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 202	 65 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 203	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 204	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 205	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 206	 39 steps 	15.0 total reward	 1 natural end
