trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 0	 116 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 1	 66 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 2	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 3	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 4	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 5	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 6	 89 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 7	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 8	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 9	 126 steps 	465.0 total reward	 1 natural end
Experiment 0	 Episode 10	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 11	 94 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 12	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 13	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 14	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 15	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 16	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 17	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 18	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 19	 70 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 20	 66 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 21	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 22	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 23	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 24	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 25	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 26	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 27	 81 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 28	 85 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 29	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 30	 81 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 31	 81 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 32	 81 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 33	 129 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 34	 81 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 35	 81 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 36	 101 steps 	250.0 total reward	 1 natural end
Experiment 0	 Episode 37	 160 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 38	 68 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 39	 82 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 40	 69 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 41	 66 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 42	 62 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 43	 62 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 44	 92 steps 	295.0 total reward	 1 natural end
Experiment 0	 Episode 45	 66 steps 	175.0 total reward	 1 natural end
Experiment 0	 Episode 46	 53 steps 	115.0 total reward	 1 natural end
Experiment 0	 Episode 47	 69 steps 	85.0 total reward	 1 natural end
Experiment 0	 Episode 48	 32 steps 	45.0 total reward	 1 natural end
Experiment 0	 Episode 49	 52 steps 	45.0 total reward	 1 natural end
Experiment 0	 Episode 50	 93 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 51	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 52	 123 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 53	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 54	 147 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 55	 81 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 56	 81 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 57	 127 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 58	 91 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 59	 129 steps 	275.0 total reward	 1 natural end
Experiment 0	 Episode 60	 66 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 61	 62 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 62	 161 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 63	 126 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 64	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 65	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 66	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 67	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 68	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 69	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 70	 39 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 71	 51 steps 	85.0 total reward	 1 natural end
Experiment 0	 Episode 72	 65 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 73	 97 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 74	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 75	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 76	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 77	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 78	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 79	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 80	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 81	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 82	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 83	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 84	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 85	 65 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 86	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 87	 53 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 88	 95 steps 	130.0 total reward	 1 natural end
Experiment 0	 Episode 89	 176 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 90	 66 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 91	 62 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 92	 116 steps 	215.0 total reward	 1 natural end
Experiment 0	 Episode 93	 92 steps 	435.0 total reward	 1 natural end
Experiment 0	 Episode 94	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 95	 127 steps 	310.0 total reward	 1 natural end
Experiment 0	 Episode 96	 53 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 97	 88 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 98	 65 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 99	 141 steps 	290.0 total reward	 1 natural end
Experiment 0	 Episode 100	 92 steps 	165.0 total reward	 1 natural end
Experiment 0	 Episode 101	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 102	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 103	 49 steps 	35.0 total reward	 1 natural end
Experiment 0	 Episode 104	 69 steps 	95.0 total reward	 1 natural end
Experiment 0	 Episode 105	 108 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 106	 73 steps 	195.0 total reward	 1 natural end
Experiment 0	 Episode 107	 146 steps 	100.0 total reward	 1 natural end
Experiment 0	 Episode 108	 100 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 109	 53 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 110	 50 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 111	 133 steps 	160.0 total reward	 1 natural end
Experiment 0	 Episode 112	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 113	 52 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 114	 97 steps 	215.0 total reward	 1 natural end
Experiment 0	 Episode 115	 52 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 116	 126 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 117	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 118	 55 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 119	 52 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 120	 132 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 121	 112 steps 	335.0 total reward	 1 natural end
Experiment 0	 Episode 122	 100 steps 	270.0 total reward	 1 natural end
Experiment 0	 Episode 123	 128 steps 	365.0 total reward	 1 natural end
Experiment 0	 Episode 124	 96 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 125	 53 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 126	 50 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 127	 90 steps 	220.0 total reward	 1 natural end
Experiment 0	 Episode 128	 46 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 129	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 130	 64 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 131	 64 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 132	 68 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 133	 93 steps 	400.0 total reward	 1 natural end
Experiment 0	 Episode 134	 68 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 135	 123 steps 	100.0 total reward	 1 natural end
Experiment 0	 Episode 136	 67 steps 	60.0 total reward	 1 natural end
Experiment 0	 Episode 137	 80 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 138	 113 steps 	225.0 total reward	 1 natural end
Experiment 0	 Episode 139	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 140	 50 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 141	 72 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 142	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 143	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 144	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 145	 42 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 146	 125 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 147	 65 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 148	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 149	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 150	 69 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 151	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 152	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 153	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 154	 54 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 155	 100 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 156	 98 steps 	215.0 total reward	 1 natural end
Experiment 0	 Episode 157	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 158	 69 steps 	310.0 total reward	 1 natural end
Experiment 0	 Episode 159	 128 steps 	485.0 total reward	 1 natural end
Experiment 0	 Episode 160	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 161	 128 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 162	 53 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 163	 52 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 164	 72 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 165	 101 steps 	145.0 total reward	 1 natural end
Experiment 0	 Episode 166	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 167	 54 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 168	 52 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 169	 53 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 170	 104 steps 	270.0 total reward	 1 natural end
Experiment 0	 Episode 171	 60 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 172	 68 steps 	105.0 total reward	 1 natural end
