trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 0	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 1	 126 steps 	465.0 total reward	 1 natural end
Experiment 0	 Episode 2	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 3	 65 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 4	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 5	 124 steps 	460.0 total reward	 1 natural end
Experiment 0	 Episode 6	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 7	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 8	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 9	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 10	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 11	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 12	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 13	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 14	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 15	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 16	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 17	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 18	 66 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 19	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 20	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 21	 101 steps 	470.0 total reward	 1 natural end
Experiment 0	 Episode 22	 66 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 23	 81 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 24	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 25	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 26	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 27	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 28	 81 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 29	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 30	 84 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 31	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 32	 84 steps 	195.0 total reward	 1 natural end
Experiment 0	 Episode 33	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 34	 100 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 35	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 36	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 37	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 38	 84 steps 	255.0 total reward	 1 natural end
Experiment 0	 Episode 39	 125 steps 	345.0 total reward	 1 natural end
Experiment 0	 Episode 40	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 41	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 42	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 43	 69 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 44	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 45	 126 steps 	460.0 total reward	 1 natural end
Experiment 0	 Episode 46	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 47	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 48	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 49	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 50	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 51	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 52	 86 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 53	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 54	 99 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 55	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 56	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 57	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 58	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 59	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 60	 48 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 61	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 62	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 63	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 64	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 65	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 66	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 67	 111 steps 	300.0 total reward	 1 natural end
Experiment 0	 Episode 68	 67 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 69	 67 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 70	 68 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 71	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 72	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 73	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 74	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 75	 98 steps 	470.0 total reward	 1 natural end
Experiment 0	 Episode 76	 65 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 77	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 78	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 79	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 80	 69 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 81	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 82	 66 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 83	 99 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 84	 49 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 85	 86 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 86	 87 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 87	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 88	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 89	 109 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 90	 93 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 91	 103 steps 	300.0 total reward	 1 natural end
Experiment 0	 Episode 92	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 93	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 94	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 95	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 96	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 97	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 98	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 99	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 100	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 101	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 102	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 103	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 104	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 105	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 106	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 107	 66 steps 	105.0 total reward	 1 natural end
