trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 1	 Episode 0	 108 steps 	655.0 total reward	 1 natural end
Experiment 1	 Episode 1	 109 steps 	325.0 total reward	 1 natural end
Experiment 1	 Episode 2	 52 steps 	110.0 total reward	 1 natural end
Experiment 1	 Episode 3	 91 steps 	295.0 total reward	 1 natural end
Experiment 1	 Episode 4	 89 steps 	205.0 total reward	 1 natural end
Experiment 1	 Episode 5	 82 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 6	 82 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 7	 82 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 8	 68 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 9	 83 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 10	 82 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 11	 82 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 12	 71 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 13	 82 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 14	 83 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 15	 70 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 16	 84 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 17	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 18	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 19	 51 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 20	 84 steps 	250.0 total reward	 1 natural end
Experiment 1	 Episode 21	 126 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 22	 82 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 23	 48 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 24	 51 steps 	90.0 total reward	 1 natural end
Experiment 1	 Episode 25	 50 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 26	 66 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 27	 73 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 28	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 29	 130 steps 	300.0 total reward	 1 natural end
Experiment 1	 Episode 30	 86 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 31	 83 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 32	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 33	 128 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 34	 82 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 35	 84 steps 	380.0 total reward	 1 natural end
Experiment 1	 Episode 36	 81 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 37	 85 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 38	 81 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 39	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 40	 81 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 41	 65 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 42	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 43	 81 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 44	 86 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 45	 44 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 46	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 47	 67 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 48	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 49	 69 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 50	 81 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 51	 82 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 52	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 53	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 54	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 55	 144 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 56	 51 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 57	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 58	 85 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 59	 73 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 60	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 61	 103 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 62	 116 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 63	 126 steps 	335.0 total reward	 1 natural end
Experiment 1	 Episode 64	 161 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 65	 71 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 66	 101 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 67	 51 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 68	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 69	 39 steps 	80.0 total reward	 1 natural end
Experiment 1	 Episode 70	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 71	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 72	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 73	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 74	 53 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 75	 53 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 76	 51 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 77	 43 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 78	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 79	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 80	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 81	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 82	 128 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 83	 84 steps 	315.0 total reward	 1 natural end
Experiment 1	 Episode 84	 94 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 85	 133 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 86	 125 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 87	 93 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 88	 68 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 89	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 90	 68 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 91	 67 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 92	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 93	 112 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 94	 114 steps 	195.0 total reward	 1 natural end
Experiment 1	 Episode 95	 72 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 96	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 97	 68 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 98	 121 steps 	100.0 total reward	 1 natural end
Experiment 1	 Episode 99	 92 steps 	130.0 total reward	 1 natural end
Experiment 1	 Episode 100	 70 steps 	70.0 total reward	 1 natural end
Experiment 1	 Episode 101	 93 steps 	95.0 total reward	 1 natural end
Experiment 1	 Episode 102	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 103	 51 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 104	 51 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 105	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 106	 91 steps 	165.0 total reward	 1 natural end
Experiment 1	 Episode 107	 93 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 108	 68 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 109	 68 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 110	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 111	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 112	 74 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 113	 84 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 114	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 115	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 116	 67 steps 	110.0 total reward	 1 natural end
Experiment 1	 Episode 117	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 118	 80 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 119	 53 steps 	90.0 total reward	 1 natural end
Experiment 1	 Episode 120	 83 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 121	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 122	 99 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 123	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 124	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 125	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 126	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 127	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 128	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 129	 82 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 130	 124 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 131	 94 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 132	 102 steps 	235.0 total reward	 1 natural end
Experiment 1	 Episode 133	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 134	 108 steps 	110.0 total reward	 1 natural end
Experiment 1	 Episode 135	 91 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 136	 67 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 137	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 138	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 139	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 140	 109 steps 	310.0 total reward	 1 natural end
Experiment 1	 Episode 141	 117 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 142	 124 steps 	235.0 total reward	 1 natural end
Experiment 1	 Episode 143	 69 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 144	 68 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 145	 69 steps 	205.0 total reward	 1 natural end
Experiment 1	 Episode 146	 61 steps 	110.0 total reward	 1 natural end
Experiment 1	 Episode 147	 120 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 148	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 149	 68 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 150	 69 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 151	 91 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 152	 95 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 153	 64 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 154	 112 steps 	295.0 total reward	 1 natural end
Experiment 1	 Episode 155	 66 steps 	190.0 total reward	 1 natural end
Experiment 1	 Episode 156	 69 steps 	220.0 total reward	 1 natural end
Experiment 1	 Episode 157	 100 steps 	250.0 total reward	 1 natural end
Experiment 1	 Episode 158	 71 steps 	140.0 total reward	 1 natural end
Experiment 1	 Episode 159	 90 steps 	505.0 total reward	 1 natural end
Experiment 1	 Episode 160	 65 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 161	 68 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 162	 62 steps 	85.0 total reward	 1 natural end
Experiment 1	 Episode 163	 70 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 164	 81 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 165	 82 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 166	 67 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 167	 95 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 168	 67 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 169	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 170	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 171	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 172	 66 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 173	 68 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 174	 45 steps 	45.0 total reward	 1 natural end
Experiment 1	 Episode 175	 71 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 176	 93 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 177	 72 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 178	 73 steps 	265.0 total reward	 1 natural end
