alien_bonus,laser_penalty,shield_bonus,lowest_enemy_penalty
0,0,0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
370,0,0.0,-20
370,0,30.0,-20
380,-10,24.0,-20
380,-10,24.0,-20
380,0,24.0,-20
380,0,0.0,-20
390,0,0.0,-20
390,0,0.0,-20
400,0,0.0,-20
400,0,0.0,-20
410,0,0.0,-20
410,0,0.0,-20
410,0,0.0,-20
420,0,0.0,-20
420,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
450,0,0.0,-20
450,0,0.0,-20
450,0,0.0,-20
460,0,0.0,-20
460,0,0.0,-20
470,0,0.0,-20
470,0,0.0,-20
480,0,0.0,-20
480,0,0.0,-20
490,0,0.0,-20
490,0,0.0,-40
500,0,0.0,-40
500,0,0.0,-40
510,0,0.0,-40
510,0,0.0,-40
520,0,0.0,-40
520,0,0.0,-40
520,0,0.0,-40
530,0,0.0,-40
530,0,0.0,-40
540,0,0.0,-40
540,0,0.0,-40
550,0,0.0,-40
550,-10,0.0,-40
550,0,0.0,-40
550,0,0.0,-40
550,0,0.0,-40
550,0,0.0,-40
550,0,0.0,-40
0,0,0,-40
0,0,0,-40
550,0,0.0,-40
560,0,0.0,-40
560,0,0.0,-40
560,0,0.0,-40
560,0,0.0,-40
560,0,0.0,-40
560,0,0.0,-40
0,0,0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
370,0,0.0,-20
370,0,0.0,-20
380,0,0.0,-20
380,0,0.0,-20
390,0,0.0,-20
390,0,0.0,-20
400,0,0.0,-20
400,0,0.0,-20
410,0,0.0,-20
410,0,0.0,-20
420,0,0.0,-20
420,0,0.0,-20
420,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
0,0,0,-20
0,0,0,-20
430,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
0,0,0,-20
0,0,0,-20
440,0,0.0,-20
450,0,0.0,-20
450,0,0.0,-20
460,0,0.0,-20
460,0,0.0,-20
470,0,0.0,-20
470,0,0.0,-20
480,0,0.0,-20
480,0,0.0,-20
490,0,0.0,-20
490,0,6.0,-20
500,0,6.0,-20
500,0,6.0,-20
500,0,6.0,-20
500,0,6.0,-20
500,0,6.0,-20
500,0,6.0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
370,0,0.0,-20
370,0,0.0,-20
380,0,0.0,-20
380,0,0.0,-20
390,0,0.0,-20
390,0,0.0,-20
400,0,0.0,-20
400,0,0.0,-20
410,0,0.0,-20
410,0,0.0,-20
420,0,0.0,-20
420,0,0.0,-20
420,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
430,0,0.0,-20
0,0,0,-20
0,0,0,-20
430,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
440,0,0.0,-20
0,0,0,-20
0,0,0,-20
440,0,0.0,-20
450,0,0.0,-20
450,0,0.0,-20
460,0,0.0,-20
460,0,0.0,-20
470,-10,0.0,-20
470,-10,0.0,-20
480,0,0.0,-20
480,0,0.0,-20
490,0,0.0,-20
490,0,0.0,-20
500,0,0.0,-20
500,0,0.0,-40
510,0,0.0,-40
510,0,0.0,-40
510,0,0.0,-40
520,0,0.0,-40
520,0,0.0,-40
530,0,0.0,-40
530,0,0.0,-40
540,0,0.0,-40
540,0,0.0,-40
550,0,0.0,-40
550,0,0.0,-40
560,0,0.0,-40
